                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.89748,                0.76967,                0.99115,                0.64003,                0.66495,                0.67703,                 0.5022,                 1.1576,                 1.2021,                 1.0512,              0.0068241,              0.0068241,              0.0068241
                     69,                0.85367,                0.73821,                0.98987,                0.84588,                0.70423,                0.77085,                0.52778,                  1.093,                 1.0157,                 1.0404,              0.0067737,              0.0067737,              0.0067737
                     70,                0.86062,                0.74391,                 0.9945,                0.81564,                0.77268,                0.81271,                0.57367,                   1.07,                0.91594,                 1.0415,              0.0067233,              0.0067233,              0.0067233
                     71,                0.85484,                0.74398,                 0.9854,                0.78978,                0.71475,                0.79078,                0.54093,                 1.0867,                0.94817,                  1.051,              0.0066729,              0.0066729,              0.0066729
                     72,                0.84284,                0.71037,                0.98511,                 0.7833,                0.72504,                0.78402,                0.53221,                 1.1602,                 1.0289,                 1.0957,              0.0066226,              0.0066226,              0.0066226
                     73,                0.84613,                0.72984,                0.98933,                0.80863,                  0.718,                0.78723,                0.54791,                  1.072,                 1.0317,                 1.0461,              0.0065722,              0.0065722,              0.0065722
                     74,                0.83667,                0.72453,                 1.0075,                0.77429,                0.66998,                0.73732,                0.51771,                 1.0658,                 1.0967,                 1.0453,              0.0065218,              0.0065218,              0.0065218
                     75,                0.86146,                0.74593,                0.98695,                0.73713,                0.67072,                0.73661,                0.53718,                 1.0805,                0.96744,                 1.0025,              0.0064714,              0.0064714,              0.0064714
                     76,                0.86801,                0.72642,                 0.9878,                0.79746,                0.74578,                0.78617,                0.53715,                 1.1493,                0.99599,                0.98979,               0.006421,               0.006421,               0.006421
                     77,                0.87666,                0.75432,                0.99821,                0.78432,                0.59218,                 0.6755,                0.45853,                 1.2288,                 1.1617,                 1.0747,              0.0063706,              0.0063706,              0.0063706
                     78,                 0.8664,                0.73376,                 1.0018,                0.80213,                0.73506,                0.80671,                0.55574,                 1.1127,                 1.0223,                 1.0412,              0.0063202,              0.0063202,              0.0063202
                     79,                0.87411,                0.76039,                 1.0104,                0.74608,                0.68644,                0.75555,                0.52532,                 1.1254,                 1.0057,                 1.0291,              0.0062699,              0.0062699,              0.0062699
                     80,                 0.8573,                0.70706,                0.99279,                0.82689,                0.70553,                 0.7932,                0.55688,                 1.1006,                0.95061,                 1.0403,              0.0062195,              0.0062195,              0.0062195
                     81,                0.81711,                0.69573,                0.99066,                 0.8228,                0.69426,                0.77253,                0.51906,                 1.1695,                 1.1605,                 1.0497,              0.0061691,              0.0061691,              0.0061691
