                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.0549,                0.99092,                0.97318,                0.76903,                0.81685,                0.79988,                0.50679,                  1.239,                 1.1181,                 1.0867,              0.0042544,              0.0042544,              0.0042544
                    120,                 1.0983,                 1.0277,                0.97666,                0.74052,                 0.7619,                0.74524,                0.50015,                 1.1902,                 1.1727,                 1.0386,               0.004204,               0.004204,               0.004204
                    121,                 1.0696,                 1.0106,                0.96011,                0.70978,                   0.75,                0.71823,                0.45225,                 1.1353,                  1.146,                0.98702,              0.0041536,              0.0041536,              0.0041536
                    122,                 1.1204,                 1.1719,                0.94556,                0.70382,                0.74301,                 0.7056,                0.44816,                 1.1998,                  1.233,                 1.0289,              0.0041032,              0.0041032,              0.0041032
                    123,                 1.0086,                0.95336,                0.95879,                0.66375,                 0.7619,                0.68802,                0.41523,                 1.2361,                 1.3553,                 1.0396,              0.0040529,              0.0040529,              0.0040529
                    124,                 1.0764,                 1.0395,                 0.9906,                0.58225,                0.65496,                0.67858,                 0.4498,                 1.2245,                 1.4107,                0.99065,              0.0040025,              0.0040025,              0.0040025
                    125,                 1.0247,                0.95182,                0.94481,                0.56683,                0.68928,                 0.6364,                0.43945,                 1.2554,                 1.4281,                0.99505,              0.0039521,              0.0039521,              0.0039521
                    126,                 1.1478,                 1.0206,                0.95762,                0.57307,                 0.7079,                0.66578,                0.44647,                 1.2412,                 1.4243,                 1.0037,              0.0039017,              0.0039017,              0.0039017
                    127,                 1.0305,                0.96313,                0.94096,                0.77064,                0.54761,                0.62636,                0.43622,                 1.2772,                 1.3224,                 1.0222,              0.0038513,              0.0038513,              0.0038513
                    128,                 1.0574,                0.95944,                0.94091,                0.64187,                0.72619,                0.65679,                 0.4196,                 1.3592,                 1.1924,                 1.0566,              0.0038009,              0.0038009,              0.0038009
                    129,                 1.0183,                0.95964,                0.95119,                0.77484,                0.69048,                0.72335,                0.48138,                 1.3149,                 1.1598,                 1.0394,              0.0037505,              0.0037505,              0.0037505
                    130,                 1.0839,                 1.0098,                 0.9411,                0.75046,                0.73583,                0.74365,                0.45738,                 1.3319,                 1.2048,                  1.033,              0.0037001,              0.0037001,              0.0037001
                    131,                0.97273,                0.95869,                0.94503,                0.74054,                0.79762,                0.74321,                0.45106,                 1.2774,                  1.247,                 1.0092,              0.0036498,              0.0036498,              0.0036498
