                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.68553,                0.51727,                0.87177,                 0.9257,                0.66522,                0.77355,                0.55787,                0.97847,                 1.0143,                0.95787,              0.0029158,              0.0029158,              0.0029158
                    145,                0.65286,                0.49544,                0.86826,                0.80256,                 0.7628,                0.79174,                0.58094,                0.95818,                0.91935,                  0.947,              0.0028648,              0.0028648,              0.0028648
                    146,                0.68799,                0.50916,                0.87611,                0.73755,                0.73436,                0.76563,                0.56776,                0.93823,                0.91605,                0.92309,              0.0028139,              0.0028139,              0.0028139
                    147,                 0.6733,                0.50688,                0.87448,                0.83139,                 0.7577,                0.80384,                0.59637,                0.88212,                0.76967,                0.90082,               0.002763,               0.002763,               0.002763
                    148,                0.67202,                0.50841,                0.86901,                0.84438,                0.74167,                0.80602,                  0.582,                0.94133,                0.84677,                0.91999,               0.002712,               0.002712,               0.002712
                    149,                0.65345,                0.48575,                0.86565,                0.85466,                0.74776,                0.79907,                0.58894,                0.87924,                0.81103,                0.90593,              0.0026611,              0.0026611,              0.0026611
                    150,                0.64404,                0.47746,                0.85894,                0.82591,                0.75527,                0.78913,                0.58993,                0.85214,                0.80366,                0.91281,              0.0026101,              0.0026101,              0.0026101
                    151,                0.63186,                 0.4719,                0.86529,                0.84256,                0.71254,                0.78284,                0.58981,                0.87424,                0.87293,                0.93424,              0.0025592,              0.0025592,              0.0025592
                    152,                0.64886,                 0.4878,                0.86791,                0.85939,                0.72446,                0.80848,                0.59287,                0.91236,                0.83337,                0.93402,              0.0025083,              0.0025083,              0.0025083
                    153,                0.67454,                0.50466,                0.87227,                 0.7987,                0.75575,                0.80332,                0.58954,                0.87638,                0.85076,                0.93545,              0.0024573,              0.0024573,              0.0024573
                    154,                0.65769,                0.50618,                0.86966,                0.84476,                0.75493,                 0.8033,                 0.6018,                0.88042,                0.82379,                0.90929,              0.0024064,              0.0024064,              0.0024064
                    155,                0.64566,                0.48695,                 0.8619,                0.79558,                0.76967,                  0.811,                0.58736,                0.90155,                0.82839,                0.91205,              0.0023554,              0.0023554,              0.0023554
                    156,                0.64365,                0.49174,                0.87187,                0.79737,                0.72728,                0.78037,                0.56214,                0.90783,                 0.8795,                0.93304,              0.0023045,              0.0023045,              0.0023045
